"LGA","CountCrash"
"Kingston (SA)",3
"Kingston (Vic.)",13
"Knox",7
"Kojonup",2
"Kondinin",2
"Ku-ring-gai",6
"Kulin",2
"Kwinana",5
"Kyogle",8
"Lachlan",5
"Lake Grace",2
"Lake Macquarie",31
"Lane Cove",2
"Latrobe (Tas.)",11
"Latrobe (Vic.)",24
"Launceston",21
"Leeton",4
"Light",15
"Lismore",15
"Litchfield",32
"Lithgow",16
"Liverpool",28
"Liverpool Plains",3
"Livingstone",19
"Lockhart",3
"Lockhart River",1
"Lockyer Valley",16
"Loddon",13
"Logan",64
"Longreach",4
"Lower Eyre Peninsula",3
"Loxton Waikerie",9
"MacDonnell",17
"Macedon Ranges",16
"Mackay",36
"Maitland",14
"Mandurah",8
"Manjimup",5
"Manningham",8
"Mansfield",8
"Maranoa",12
"Mareeba",24
"Maribyrnong",7
"Marion",11
"Maroondah",10
"McKinlay",4
"Meander Valley",9
"Meekatharra",4
"Melbourne",16
"Melton",19
"Melville",2
"Menzies",2
"Mid Murray",13
"Mid-Coast",32
"Mid-Western Regional",19
"Mildura",18
"Mitcham",8
"Mitchell",20
"Moira",24
"Monash",29
"Moonee Valley",8
"Moora",1
"Moorabool",16
"Moree Plains",8
"Moreland",9
"Moreton Bay",90
"Mornington",1
"Mornington Peninsula",40
"Mosman",1
"Mount Alexander",12
"Mount Barker",14
"Mount Gambier",2
"Mount Isa",6
"Mount Magnet",1
"Mount Marshall",2
"Mount Remarkable",4
"Moyne",7
"Mundaring",8
"Murray",12
"Murray Bridge",11
"Murray River",5
"Murrindindi",17
"Murrumbidgee",6
"Murweh",1
"Muswellbrook",12
"Nambucca",5
"Nambucca Valley",4
"Nannup",1
"Naracoorte Lucindale",8
"Narrabri",14
"Narrandera",5
"Narromine",5
"Nedlands",1
"Newcastle",14
"Ngaanyatjarraku",1
"Nillumbik",9
"Noosa",16
"North Burnett",11
"North Sydney",6
"Northam",5
"Northampton",2
"Northern Areas",1
"Northern Beaches",17
"Northern Grampians",12
"Northern Midlands",11
"Northern Peninsula Area",2
"Norwood Payneham and St Peters",4
"Nungarin",2
"Oberon",3
"Onkaparinga",23
"Orange",4
"Orroroo Carrieton",1
"Palmerston",9
"Parkes",6
"Parramatta",29
"Penrith",22
"Perenjori",1
"Perth",5
"Pingelly",1
"Plantagenet",10
"Playford",19
"Port Adelaide Enfield",18
"Port Augusta",13
"Port Hedland",7
"Port Lincoln",1
"Port Macquarie-Hastings",20
"Port Phillip",8
"Port Pirie",8
"Port Stephens",23
"Prospect",4
"Pyrenees",6
"Quairading",1
"Queanbeyan-Palerang Regional",14
"Quilpie",2
"Randwick",11
"Ravensthorpe",1
"Redland",15
"Renmark Paringa",8
"Richmond Valley",17
"Robe",1
"Rockhampton",20
"Rockingham",12
"Roper Gulf",13
"Ryde",8
"Salisbury",31
"Scenic Rim",37
"Serpentine-Jarrahdale",15
"Shellharbour",7
"Shoalhaven",31
"Singleton",17
"Snowy Monaro Regional",19
"Snowy Valleys",11
"Somerset",29
"Sorell",6
"South Burnett",31
"South Gippsland",21
"South Perth",1
"Southern Downs",25
"Southern Grampians",5
"Southern Mallee",3
"Southern Midlands",10
"Stirling",7
"Stonnington",3
"Strathbogie",14
"Strathfield",1
"Streaky Bay",4
"Sunshine Coast",71
"Surf Coast",4
"Sutherland",19
"Swan",16
"Swan Hill",8
"Sydney",26
"Tablelands",18
"Tamworth Regional",22
"Tasman",2
"Tatiara",11
"Tea Tree Gully",6
"Temora",6
"Tenterfield",7
"The Hills",12
"Toodyay",2
"Toowoomba",64
"Townsville",49
"Towong",9
"Tumby Bay",1
"Tweed",21
"Unincorporated",5
"Unincorporated ACT",34
"Unincorporated NT",9
"Unincorporated SA",23
"Unley",4
"Upper Hunter",5
"Upper Lachlan",20
"Uralla",3
"Victor Harbor",4
"Victoria Daly",16
"Victoria Park",3
"Victoria Plains",3
"Vincent",6
"Wagga Wagga",27
"Wagin",3
"Wakefield",13
"Walcha",10
"Walgett",4
"Walkerville",1
"Wandering",2
"Wangaratta",11
"Wanneroo",18
"Waratah-Wynyard",11
"Waroona",4
"Warren",1
"Warrnambool",9
"Warrumbungle",15
"Wattle Range",9
"Waverley",6
"Weddin",7
"Wellington",19
"Wentworth",7
"West Arnhem",10
"West Arthur",1
"West Coast",4
"West Tamar",8
"West Torrens",6
"West Wimmera",9
"Western Downs",20
"Whitehorse",8
"Whitsunday",20
"Whittlesea",23
"Whyalla",3
"Wickepin",2
"Williams",4
"Willoughby",5
"Wingecarribee",23
"Wodonga",5
"Wollondilly",20
"Wollongong",31
"Wongan-Ballidu",1
"Woodanilling",1
"Woollahra",2
"Wudinna",2
"Wyndham",29
"Wyndham-East Kimberley",4
"Yankalilla",5
"Yarra",10
"Yarra Ranges",39
"Yarrabah",2
"Yarriambiack",6
"Yass Valley",18
"Yilgarn",4
"York",3
"Yorke Peninsula",6
